(658306.09837, 109672.02039, 275),
(658307.94081, 109679.03809, 275),
          (658323.56966, 109697.15589, 275),
          (658331.18459, 109720.67741, 275),
          (658337.12547, 109744.6442, 275),
          (658341.03453, 109769.05973, 275),
          (658345.26286, 109793.42211, 275),
          (658349.69554, 109817.74654, 275),
          (658353.36534, 109842.19839, 275),
          (658356.35658, 109866.74345, 275),
          (658359.51499, 109891.26581, 275),
          (658363.22865, 109915.71149, 275),
          (658366.86614, 109940.16904, 275),
          (658370.026, 109964.69194, 275),
          (658373.14967, 109989.22044, 275),
          (658376.53598, 110013.71395, 275),
          (658379.3075, 110038.28256, 275),
          (658381.35696, 110062.92326, 275),
          (658381.21016, 110087.53994, 275),
          (658363.73183, 110089.80818, 275),
          (658380.49413, 110107.61015, 275),
          (658402.7862, 110118.17603, 275),
          (658426.69281, 110123.77083, 275),
          (658440.96618, 110107.84394, 275),
          (658438.86583, 110083.26939, 275),
          (658435.16465, 110058.82133, 275),
          (658431.20624, 110034.41353, 275),
          (658427.24291, 110010.00669, 275),
          (658423.81544, 109985.51936, 275),
          (658420.70895, 109960.9885, 275),
          (658417.46579, 109936.47527, 275),
          (658413.75134, 109912.02933, 275),
          (658409.99066, 109887.59059, 275),
          (658406.81034, 109863.06974, 275),
          (658403.96664, 109838.50728, 275),
          (658400.82059, 109813.98158, 275),
          (658397.39481, 109789.49321, 275),
          (658394.42617, 109764.94638, 275),
          (658391.81931, 109740.35745, 275),
          (658387.45963, 109716.06681, 275),
          (658375.29694, 109694.94349, 275),
          (658354.30814, 109682.52632, 275),
          (658330.42612, 109676.27344, 275),
          (658348.03074, 109703.20109, 275),
          (658352.30524, 109729.7377, 275),
          (658357.22255, 109754.33302, 275),
          (658361.06165, 109778.67181, 275),
          (658365.02903, 109803.05534, 275),
          (658368.84173, 109827.55572, 275),
          (658372.16113, 109852.13313, 275),
          (658375.3018, 109876.69463, 275),
          (658378.72452, 109901.19885, 275),
          (658382.35289, 109925.70802, 275),
          (658385.78293, 109950.2523, 275),
          (658388.9908, 109974.78816, 275),
          (658392.26291, 109999.30119, 275),
          (658395.50065, 110023.85605, 275),
          (658398.31894, 110048.25152, 275),
          (658399.61276, 110072.34579, 275),
          (658397.80003, 110094.40737, 275),
          (658415.45532, 110103.72307, 275),
          (658418.13486, 110086.46919, 275),
          (658416.94939, 110064.16956, 275),
          (658413.6565, 110040.00329, 275),
          (658410.0648, 110015.60613, 275),
          (658406.59037, 109991.10133, 275),
          (658403.33602, 109966.57643, 275),
          (658400.06133, 109942.057, 275),
          (658396.5245, 109917.56189, 275),
          (658392.90084, 109893.05156, 275),
          (658389.56384, 109868.48237, 275),
          (658386.47431, 109843.88813, 275),
          (658383.232, 109819.31934, 275),
          (658379.74251, 109794.7863, 275),
          (658376.34546, 109770.221, 275),
          (658372.75618, 109745.71793, 275),
          (658368.91182, 109720.74677, 275),
          (656953.71919, 110143.99577, 267.16845703),
          (656961.95744, 110149.68884, 267.20620728),
          (656970.19569, 110155.38191, 267.243927),
          (656979.64523, 110158.40898, 267.25628662),
          (656989.35228, 110160.8693, 267.26324463),
          (656999.05932, 110163.32962, 267.27020264),
          (657008.76637, 110165.78994, 267.27716064),
          (657018.47341, 110168.25026, 267.28411865),
          (657028.38531, 110169.58097, 267.24578857),
          (657038.33814, 110170.68596, 267.19842529),
          (657048.29097, 110171.79095, 267.15106201),
          (657058.2438, 110172.89595, 267.10369873),
          (657068.19663, 110174.00094, 267.05633545),
          (657078.14947, 110175.10593, 267.00900269),
          (657088.1023, 110176.21092, 266.9616394),
          (657098.05805, 110177.28814, 266.93978882),
          (657108.02302, 110178.27772, 266.99856567),
          (657117.98799, 110179.26731, 267.05731201),
          (657127.95296, 110180.25689, 267.11605835),
          (657137.91792, 110181.24647, 267.17483521),
          (657147.88289, 110182.23606, 267.23358154),
          (657157.84786, 110183.22564, 267.29232788),
          (657167.81283, 110184.21522, 267.35110474),
          (657177.73866, 110183.16551, 267.43164063),
          (657187.65831, 110181.79427, 267.51559448),
          (657197.57797, 110180.42303, 267.59957886),
          (657207.49762, 110179.05179, 267.68356323),
          (657217.41728, 110177.68055, 267.76751709),
          (657227.42353, 110177.8032, 267.75286865),
          (657237.43519, 110178.01909, 267.73208618),
          (657247.44684, 110178.23497, 267.71127319),
          (657257.45884, 110178.3685, 267.70812988),
          (657267.47193, 110178.23477, 267.76220703),
          (657277.48502, 110178.10103, 267.8163147),
          (657287.49811, 110177.9673, 267.87039185),
          (657297.5112, 110177.83357, 267.92449951),
          (657307.52429, 110177.69984, 267.97860718),
          (657317.53731, 110177.63896, 268.03131104),
          (657327.55011, 110177.79271, 268.07992554),
          (657337.56292, 110177.94646, 268.12854004),
          (657347.57572, 110178.1002, 268.17715454),
          (657357.58852, 110178.25395, 268.22579956),
          (657367.59702, 110178.33398, 268.26831055),
          (657377.52381, 110177.01538, 268.19491577),
          (657387.4506, 110175.69679, 268.121521),
          (657397.37739, 110174.37819, 268.04815674),
          (657407.28781, 110172.99359, 267.98117065),
          (657416.68038, 110169.5209, 268.11611938),
          (657426.07295, 110166.04822, 268.25109863),
          (657435.46551, 110162.57553, 268.38607788),
          (657444.85808, 110159.10284, 268.52102661),
          (657454.11395, 110155.28697, 268.57028198),
          (657463.32179, 110151.35054, 268.5894165),
          (657472.52963, 110147.4141, 268.60855103),
          (657481.9582, 110144.05289, 268.66726685),
          (657491.43569, 110140.81915, 268.73477173),
          (657500.91318, 110137.58542, 268.80224609),
          (657510.39067, 110134.35168, 268.86975098),
